Title,Description,Source,Published Date,URL,Sentiment Score,Transport Status,Lead Time (days),Geopolitical Risk,route_risk_level,Risk Factor
Market stable to close January; tariffs signal wild ride for February,Tender rejection rates have held above 7% throughout January and the spread between spot and contract continues to narrow. The post Market stable to close...,Yahoo Entertainment,03-02-2025 20:30,https://finance.yahoo.com/news/market-stable-close-january-tariffs-150000940.html,-0.1,On Time,29,Low,8.990154183,Medium
What Does The Return Of The US Monroe Doctrine Mean For Cleantech?,"After the first three weeks that Trump 2.0 has been unfolding, with a mix of absurd ego, drill baby drill, radical loyalty requirements, elimination of soft power, purging of ï¿½enemiesï¿½ and devastation of science, itï¿½s worth asking what the foreign policy tea ï¿½",CleanTechnica,13-02-2025 01:37,https://cleantechnica.com/2025/02/12/what-does-the-return-of-the-us-monroe-doctrine-mean-for-cleantech/,0.005,In Transit,7,Medium,5.660301578,Medium
Is Germany's industrial economic model in danger?,"The German economy is a cause for great concern as voters go to the polls to elect a new government. Has the country miscalculated on its business model, where it gets energy, Chinese competition and tariffs?",DW (English),19-02-2025 23:15,https://www.dw.com/en/is-germanys-industrial-economic-model-in-danger/a-71648473,0.347272727,Pending,15,High,8.887284728,High
The future of smart wearables: interview with Enovix CEO,"DIGITIMES analyst Brandon Fang recently observed a significant surge in AI glasses manufacturers at CES 2025. With product displays expanding dramatically, more than 100 models are expected to be released in 2025, marking the entry of AI glasses into a competï¿½",Digitimes,05-02-2025 12:06,https://www.digitimes.com/news/a20250205PD210/digitimes-enovix-ceo-ces-2025-market.html,0.19375,Delayed,1,Low,6.609701629,Medium
"U.S. Postal Service U-turn on China parcels sows confusion among retailers, shippers","The U.S. Postal Service said on Wednesday it would again accept parcels from China and Hong Kong, reversing a 12-hour suspension after President Donald Trump scrapped an exemption used by retailers including Temu, Shein, and Amazon to ship low-value packages ï¿½",Japan Today,06-02-2025 03:15,https://japantoday.com/category/business/us-postal-service-u-turn-on-china-parcels-sows-confusion-among-retailers-shippers,0.0,On Time,12,Medium,4.916762685,Low
ï¿½Indian economy leaning against the windsï¿½: SBI forecasts Q3 FY25 GDP growth rate at 6.2-6.3%,"India continued to remain one of the fastest growing economies, despite intensifying geopolitical developments, supply chain disruption and the consequent imported inflationary pressures, stated the SBI report.",Business Today,19-02-2025 09:44,https://www.businesstoday.in/latest/economy/story/sbi-forecasts-q3-fy25-gdp-growth-rate-at-6-2-6-3-percent-indian-economy-leaning-against-the-winds-465124-2025-02-19,0.0,In Transit,30,High,2.436464656,High
Recalibrating Exports: Russiaï¿½s Strategic Moves in the Fertilizer Market,"Russiaï¿½s strategic moves in the fertilizer market have enabled it to evade European Union sanctions in the wake of its invasion of Ukraine. As a result, the EU must start subsidizing domestic production and diversifying import sources. Introduction The Europeï¿½",The National Interest ,25-02-2025 01:23,https://nationalinterest.org/blog/energy-world/recalibrating-exports-russias-strategic-moves-in-the-fertilizer-market/,0.0,In Transit,23,Low,9.001074994,Medium
Russia warns financial sector of major IT service provider hack,"Russia's National Coordination Center for Computer Incidents (NKTsKI) is warningï¿½organizations in the country's credit and financial sector about a breach at LANIT, a major Russian IT service and software provider. [...]",BleepingComputer,25-02-2025 02:18,https://www.bleepingcomputer.com/news/security/russia-warns-financial-sector-of-major-it-service-provider-hack/,-0.009375,Delayed,29,Medium,9.841706685,Medium
Sarcoma ransomware claims breach at giant PCB maker Unimicron,A relatively new ransomware operation named 'Sarcoma' has claimed responsibility for an attack against the Unimicron printed circuit boards (PCB) maker in Taiwan. [...],BleepingComputer,13-02-2025 00:54,https://www.bleepingcomputer.com/news/security/sarcoma-ransomware-claims-breach-at-giant-pcb-maker-unimicron/,0.136363636,Pending,7,High,5.290822043,High
Decarbonization in the Crossfire: Europe Between Trump and Beijing,"As President Donald Trump continues to enact his ï¿½America Firstï¿½ policies, Europe finds itself caught between Trump and Beijing. The return of Donald Trump to the White House has surprised few in Europe. Yet, the implications for global trade, clean technologï¿½",The National Interest ,11-02-2025 22:00,https://nationalinterest.org/blog/energy-world/decarbonization-in-the-crossfire-europe-between-trump-and-beijing/,0.086111111,Delivered,11,Low,5.386122716,Medium
4 ways Parts Town prioritizes ecommerce and digital transformation,"Editorï¿½s note: In the fast-paced world of B2B ecommerce, purchasing managers and their teams have ambitious goals. They seek a seamless, digitally driven omnichannel experience ï¿½ a challenging feat for many manufacturers and distributors. But Parts Town, a leï¿½",DigitalCommerce360,08-02-2025 03:09,https://www.digitalcommerce360.com/2025/02/07/parts-town-qa-ecommerce-digital-transformation/,0.27,Delayed,6,Medium,9.697625118,Medium
"The Labor Market Is Suffering, but Today's Jobs Data Looks Just Peachy","Layoffs, wildfires and deportations. Why is the jobs report still positive?",CNET,08-02-2025 03:51,https://www.cnet.com/personal-finance/the-labor-market-is-suffering-but-todays-jobs-data-looks-just-peachy/,0.227272727,On Time,17,High,7.385161957,High
India Is Building a Sanctions-Proof Supply Chain for Russian Oil,"Oil refiners in India ï¿½ eager to keep importing cheap crude from Russia ï¿½ are working with merchants, shippers and other middlemen to rebuild supply chains as tougher US sanctions come into effect.",Financial Post,12-02-2025 15:28,https://financialpost.com/pmn/business-pmn/india-is-building-a-sanctions-proof-supply-chain-for-russian-oil,-0.141666667,Delivered,8,Low,9.994562658,Medium
Emerging Energy Security Risks in Todayï¿½s Context,Emerging energy security risks include both old geopolitical threats and new cyber and rare earth-related dangers that the policymakers who are responsible for managing the green energy transition must take into account. Russiaï¿½s invasion of Ukraine and the dï¿½,The National Interest ,19-02-2025 18:06,https://nationalinterest.org/blog/energy-world/emerging-energy-security-risks-in-todays-context/,0.107272727,Pending,10,Medium,4.359062235,Low
How is India benefitting from the 30% rise in global coffee prices?,"Indian coffee exports have grown in value, but export volumes remain stable, highlighting the need to increase coffee acreage for sustained long-term growth, says Praveen Jaipuriar, CEO, CCL Products (India) Ltd",BusinessLine,19-02-2025 08:00,https://www.thehindubusinessline.com/multimedia/audio/how-is-india-benefitting-from-the-30-rise-in-global-coffee-prices/article69235084.ece,0.0,Pending,16,High,9.658695504,High
Trump trades tariffs with US allies while consumers brace for supply chain snarls,Donald Trump on Saturday traded new tariffs on imports with Canada and Mexico. Consumers and retailers are preparing for price hikes in response.,Business Insider,02-02-2025 09:59,https://www.businessinsider.com/retailers-small-businesses-react-trump-trade-tariffs-2025-2,0.136363636,Delivered,26,Low,5.54348705,Medium
Kinaxis Settles Pending Litigation,"OTTAWA, Ontario ï¿½ Kinaxisï¿½ (TSX: KXS), a global leader in end-to-end supply chain orchestration, has entered into a settlement agreement with Blue Yonder Group, Inc. to fully resolve all pending litigation matters between the companies which includes Blue Yonï¿½",Financial Post,13-02-2025 17:37,https://financialpost.com/pmn/business-wire-news-releases-pmn/kinaxis-settles-pending-litigation,0.0,In Transit,1,Medium,9.855152502,Medium
North American Companies Brace for Fallout From Tariffs,"For North American companies, the ï¿½wait and seeï¿½ moment on tariffs is over. U.S. President Donald Trump imposed a 25% levy on goods from Canada and Mexico, along with a 10% tariff on China, in what could be the opening ï¿½",Insurance Journal,03-02-2025 11:43,https://www.insurancejournal.com/news/national/2025/02/03/810426.htm,0.0,Delayed,7,High,0.860793665,High
Australia wonï¿½t escape the fallout of the Trump trade chaos,Trumpï¿½s tariffs on China could further slow the economy of Australiaï¿½s largest trading partner.,The Conversation Africa,04-02-2025 07:09,https://theconversation.com/australia-wont-escape-the-fallout-of-the-trump-trade-chaos-248883,-0.15,Delivered,17,Low,3.612424219,Low
Eye Doctors Are Finding New Links Between Ozempic and Vision Problems,"A new case series links GLP-1 use to three different eye conditions, all of which can lead to blindness.",Gizmodo.com,13-02-2025 03:20,https://gizmodo.com/eye-doctors-are-finding-new-links-between-ozempic-and-vision-problems-2000563080,0.068181818,Delayed,2,Medium,2.427861297,Low
What happened the only time a US president stayed at Balmoral?,President Eisenhower enjoyed an informal stay with the Queen during which she cooked drop scones.,BBC News,01-03-2025 04:30,https://www.bbc.com/news/articles/ckgnnlw2r0mo,0.5,In Transit,12,High,5.668509334,High
classic lemon curd tart,"You might be asking yourself, Deb, why are you publishing a lemon tart recipe when the greatest lemon tart of all time already exists on your site? Okay, Iï¿½m embellishing a little, but I do really love the whole lemon tart and its sister recipe, the whole lemï¿½",Smittenkitchen.com,01-02-2025 22:20,https://smittenkitchen.com/2025/02/classic-lemon-curd-tart/,0.36875,In Transit,27,Low,9.963979974,Medium
"These 10 magnesium-rich foods have benefits for sleep, heart health and blood sugar",,Yahoo Entertainment,03-02-2025 05:30,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_60820c6a-5e12-429d-a37d-1138954eb71a,0.0,Pending,30,Medium,9.010142119,Medium
Scientists Develop a Device That Lets You Taste Video Games,e-Taste sits on your lower teeth and delivers flavors directly into your mouth in response to remote stimuli.,Gizmodo.com,01-03-2025 00:30,https://gizmodo.com/scientists-develop-a-device-that-lets-you-taste-video-games-2000569242,0.0,Pending,28,High,0.542919169,High
"Today's NYT Mini Crossword Answers for Wednesday, Feb. 12","Here's today's NYT Mini Crossword answer. These answers will help you solve New York Times' popular crossword game, Mini Crossword, every day!",CNET,12-02-2025 08:37,https://www.cnet.com/tech/gaming/todays-nyt-mini-crossword-answers-for-wednesday-feb-12/,0.078787879,On Time,7,Low,6.319646572,Medium
6 Natural Sugar Alternatives You Can Indulge In for Super Bowl Festivities,Use these six natural sugar substitutes to help you monitor your refined sugar intake. The best part is that they are likely in your pantry already.,CNET,08-02-2025 17:52,https://www.cnet.com/health/nutrition/natural-sugar-alternatives-indulge-super-bowl/,0.366666667,Delayed,25,Medium,9.912695065,Medium
3 tips for cooking the best fish at home from a Michelin-starred chef who specializes in seafood,"Michelin-starred chef Massimo Falsini specializes in seafood dishes at Caruso's, the restaurant at Rosewood Miramar Beach resort in Santa Barbara.",Business Insider,18-02-2025 04:38,https://www.businessinsider.com/how-to-cook-best-fish-at-home-2025-2,0.0,Delayed,25,High,0.672245322,High
Lemon Pistachio Granola,"This tart and tangy all-natural (nearly) all organic granola has become a CH Pantry staple. Simple, tasty and unqiue, this limited-ingredient recipe includes organic gluten-free oats, organic brown sugar, expeller-pressed canola oil, ï¿½",Cool Hunting,04-02-2025 20:26,http://coolhunting.com/buy/lemon-pistachio-granola/,0.05,On Time,29,Low,9.999880983,Medium
Scientists Uncover an Unlikely New Weapon Against Cancer: Fat Cells,New research suggests that certain fat cells can be reprogrammed into a cancer-starving therapy.,Gizmodo.com,05-02-2025 03:20,https://gizmodo.com/scientists-uncover-an-unlikely-new-weapon-against-cancer-fat-cells-2000559081,0.175324675,Delayed,21,Medium,2.205902452,Low
"Figs, ivy, silphium and of course, commerce","Itï¿½s just a week until Valentineï¿½s Day, a multi-billion dollar spending jamboree. As often happens, the people we depend on for much of it get the short end of the deal, but a little mindful planning can make a difference. The heart shape we associate with loï¿½",Seths.blog,07-02-2025 21:03,https://seths.blog/2025/02/figs-ivy-silphium-and-of-course-commerce/,0.004166667,Delayed,10,High,8.364359009,High
